Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
   129.0,  3.340019E-2,     5.89641,          NaN,         NaN, 2.517306E-11,    26.19011,          NaN,         NaN
   130.0,  3.759565E-2,     5.92048,          NaN,         NaN, 2.540248E-11,    26.37111,          NaN,         NaN
   131.0,  4.203355E-2,     5.96645,          NaN,         NaN, 2.541892E-11,    26.54985,          NaN,         NaN
   132.0,  4.663415E-2,     6.02943,          NaN,         NaN, 2.522160E-11,    26.72684,          NaN,         NaN
   133.0,  5.134290E-2,     6.10587,          NaN,         NaN, 2.481343E-11,    26.90249,          NaN,         NaN
   134.0,  5.612105E-2,     6.19320,          NaN,         NaN, 2.420083E-11,    27.07722,          NaN,         NaN
   135.0,  6.093986E-2,     6.28954,          NaN,         NaN, 2.339344E-11,    27.25142,          NaN,         NaN
   136.0,  6.577703E-2,     6.39349,          NaN,         NaN, 2.240397E-11,    27.42547,          NaN,         NaN
   137.0,  7.061468E-2,     6.50400,          NaN,         NaN, 2.124790E-11,    27.59981,          NaN,         NaN
   138.0,  7.543802E-2,     6.62019,          NaN,         NaN, 1.994325E-11,    27.77493,          NaN,         NaN
   139.0,  8.023462E-2,     6.74137,          NaN,         NaN, 1.851030E-11,    27.95142,          NaN,         NaN
   140.0,  8.499383E-2,     6.86694,          NaN,         NaN, 1.697130E-11,    28.13002,          NaN,         NaN
   141.0,  8.970636E-2,     6.99635,          NaN,         NaN, 1.535029E-11,    28.31175,          NaN,         NaN
   142.0,  9.436381E-2,     7.12911,          NaN,         NaN, 1.367289E-11,    28.49800,          NaN,         NaN
   143.0,  9.895824E-2,     7.26476,          NaN,         NaN, 1.196633E-11,    28.69086,          NaN,         NaN
   144.0,  1.034816E-1,     7.40284,          NaN,         NaN, 1.025970E-11,    28.89351,          NaN,         NaN
   145.0,  1.079254E-1,     7.54292,          NaN,         NaN, 8.584960E-12,    29.11115,          NaN,         NaN
   146.0,  1.122798E-1,     7.68457,          NaN,         NaN, 6.979322E-12,    29.35270,          NaN,         NaN
   147.0,  1.165335E-1,     7.82737,          NaN,         NaN, 5.491114E-12,    29.63431,          NaN,         NaN
   148.0,  1.206731E-1,     7.97091,          NaN,         NaN, 4.193715E-12,    29.98553,          NaN,         NaN
   149.0,  1.246831E-1,     8.11478,          NaN,         NaN, 3.213197E-12,    30.45192,          NaN,         NaN
   150.0,  1.285458E-1,     8.25858,          NaN,         NaN, 2.735176E-12,    31.04883,          NaN,         NaN
   151.0,  1.322411E-1,     8.40194,          NaN,         NaN, 2.837118E-12,    31.65509,          NaN,         NaN
   152.0,  1.357474E-1,     8.54447,          NaN,         NaN, 3.311786E-12,    32.13639,          NaN,         NaN
   153.0,  1.390423E-1,     8.68581,          NaN,         NaN, 3.897863E-12,    32.49808,          NaN,         NaN
   154.0,  1.421030E-1,     8.82560,          NaN,         NaN, 4.445612E-12,    32.78652,          NaN,         NaN
   155.0,  1.449083E-1,     8.96350,          NaN,         NaN, 4.884099E-12,    33.03324,          NaN,         NaN
   156.0,  1.474390E-1,     9.09917,          NaN,         NaN, 5.179269E-12,    33.25579,          NaN,         NaN
   157.0,  1.496805E-1,     9.23230,          NaN,         NaN, 5.314726E-12,    33.46417,          NaN,         NaN
   158.0,  1.516235E-1,     9.36255,          NaN,         NaN, 5.283833E-12,    33.66464,          NaN,         NaN
   159.0,  1.532665E-1,     9.48963,          NaN,         NaN, 5.086340E-12,    33.86186,          NaN,         NaN
   160.0,  1.546170E-1,     9.61323,          NaN,         NaN, 4.726941E-12,    34.06022,          NaN,         NaN
   161.0,  1.556933E-1,     9.73307,          NaN,         NaN, 4.214892E-12,    34.26532,          NaN,         NaN
   162.0,  1.565260E-1,     9.84889,          NaN,         NaN, 3.564863E-12,    34.48670,          NaN,         NaN
   163.0,  1.571587E-1,     9.96045,          NaN,         NaN, 2.800914E-12,    34.74523,          NaN,         NaN
   164.0,  1.576489E-1,    10.06757,          NaN,         NaN, 1.973599E-12,    35.09956,          NaN,         NaN
   165.0,  1.580674E-1,    10.17014,          NaN,         NaN, 1.253140E-12,    35.74961,          NaN,         NaN
   166.0,  1.584976E-1,    10.26813,          NaN,         NaN, 1.234579E-12,    36.85901,          NaN,         NaN
   167.0,  1.590329E-1,    10.36164,          NaN,         NaN, 2.074569E-12,    37.56739,          NaN,         NaN
   168.0,  1.597730E-1,    10.45089,          NaN,         NaN, 3.211097E-12,    37.93657,          NaN,         NaN
   169.0,  1.608195E-1,    10.53626,          NaN,         NaN, 4.446664E-12,    38.19420,          NaN,         NaN
   170.0,  1.622695E-1,    10.61832,          NaN,         NaN, 5.720321E-12,    38.40741,          NaN,         NaN
   171.0,  1.642091E-1,    10.69775,          NaN,         NaN, 6.999441E-12,    38.59892,          NaN,         NaN
   172.0,  1.667067E-1,    10.77539,          NaN,         NaN, 8.259673E-12,    38.77822,          NaN,         NaN
   173.0,  1.698073E-1,    10.85211,          NaN,         NaN, 9.480194E-12,    38.94995,          NaN,         NaN
   174.0,  1.735281E-1,    10.92883,          NaN,         NaN, 1.064235E-11,    39.11665,          NaN,         NaN
   175.0,  1.778570E-1,    11.00639,          NaN,         NaN, 1.172929E-11,    39.27980,          NaN,         NaN
   176.0,  1.827528E-1,    11.08552,          NaN,         NaN, 1.272587E-11,    39.44038,          NaN,         NaN
   177.0,  1.881479E-1,    11.16684,          NaN,         NaN, 1.361871E-11,    39.59902,          NaN,         NaN
   178.0,  1.939524E-1,    11.25076,          NaN,         NaN, 1.439628E-11,    39.75619,          NaN,         NaN
   179.0,  2.000591E-1,    11.33756,          NaN,         NaN, 1.504899E-11,    39.91222,          NaN,         NaN
   180.0,  2.063492E-1,    11.42736,          NaN,         NaN, 1.556922E-11,    40.06739,          NaN,         NaN
   181.0,  2.126973E-1,    11.52016,          NaN,         NaN, 1.595138E-11,    40.22190,          NaN,         NaN
   182.0,  2.189756E-1,    11.61585,          NaN,         NaN, 1.619194E-11,    40.37595,          NaN,         NaN
   183.0,  2.250585E-1,    11.71425,          NaN,         NaN, 1.628939E-11,    40.52971,          NaN,         NaN
   184.0,  2.308255E-1,    11.81513,          NaN,         NaN, 1.624421E-11,    40.68334,          NaN,         NaN
   185.0,  2.361635E-1,    11.91823,          NaN,         NaN, 1.605883E-11,    40.83700,          NaN,         NaN
   186.0,  2.409697E-1,    12.02326,          NaN,         NaN, 1.573752E-11,    40.99089,          NaN,         NaN
   187.0,  2.451523E-1,    12.12992,          NaN,         NaN, 1.528628E-11,    41.14519,          NaN,         NaN
   188.0,  2.486326E-1,    12.23791,          NaN,         NaN, 1.471272E-11,    41.30016,          NaN,         NaN
   189.0,  2.513451E-1,    12.34694,          NaN,         NaN, 1.402593E-11,    41.45607,          NaN,         NaN
   190.0,  2.532389E-1,    12.45670,          NaN,         NaN, 1.323632E-11,    41.61331,          NaN,         NaN
   191.0,  2.542776E-1,    12.56690,          NaN,         NaN, 1.235550E-11,    41.77234,          NaN,         NaN
   192.0,  2.544400E-1,    12.67724,          NaN,         NaN, 1.139612E-11,    41.93384,          NaN,         NaN
   193.0,  2.537198E-1,    12.78744,          NaN,         NaN, 1.037179E-11,    42.09871,          NaN,         NaN
   194.0,  2.521259E-1,    12.89718,          NaN,         NaN, 9.297006E-12,    42.26830,          NaN,         NaN
   195.0,  2.496816E-1,    13.00617,          NaN,         NaN, 8.187295E-12,    42.44462,          NaN,         NaN
   196.0,  2.464250E-1,    13.11411,          NaN,         NaN, 7.059511E-12,    42.63093,          NaN,         NaN
   197.0,  2.424075E-1,    13.22069,          NaN,         NaN, 5.932764E-12,    42.83266,          NaN,         NaN
   198.0,  2.376940E-1,    13.32559,          NaN,         NaN, 4.830680E-12,    43.05965,          NaN,         NaN
   199.0,  2.323611E-1,    13.42850,          NaN,         NaN, 3.787135E-12,    43.33080,          NaN,         NaN
   200.0,  2.264968E-1,    13.52907,          NaN,         NaN, 2.861482E-12,    43.68388,          NaN,         NaN
   201.0,  2.201988E-1,    13.62700,          NaN,         NaN, 2.174881E-12,    44.18315,          NaN,         NaN
   202.0,  2.135728E-1,    13.72197,          NaN,         NaN, 1.931032E-12,    44.84192,          NaN,         NaN
   203.0,  2.067309E-1,    13.81369,          NaN,         NaN, 2.205867E-12,    45.46427,          NaN,         NaN
   204.0,  1.997890E-1,    13.90188,          NaN,         NaN, 2.786351E-12,    45.91350,          NaN,         NaN
   205.0,  1.928640E-1,    13.98634,          NaN,         NaN, 3.465259E-12,    46.23768,          NaN,         NaN
   206.0,  1.860709E-1,    14.06692,          NaN,         NaN, 4.143436E-12,    46.49437,          NaN,         NaN
   207.0,  1.795183E-1,    14.14359,          NaN,         NaN, 4.776782E-12,    46.71443,          NaN,         NaN
   208.0,  1.733048E-1,    14.21641,          NaN,         NaN, 5.343536E-12,    46.91340,          NaN,         NaN
   209.0,  1.675140E-1,    14.28561,          NaN,         NaN, 5.831867E-12,    47.09957,          NaN,         NaN
   210.0,  1.622100E-1,    14.35153,          NaN,         NaN, 6.235114E-12,    47.27768,          NaN,         NaN
   211.0,  1.574342E-1,    14.41467,          NaN,         NaN, 6.549787E-12,    47.45070,          NaN,         NaN
   212.0,  1.532017E-1,    14.47564,          NaN,         NaN, 6.774624E-12,    47.62059,          NaN,         NaN
   213.0,  1.495010E-1,    14.53511,          NaN,         NaN, 6.910101E-12,    47.78876,          NaN,         NaN
   214.0,  1.462951E-1,    14.59377,          NaN,         NaN, 6.958155E-12,    47.95633,          NaN,         NaN
   215.0,  1.435243E-1,    14.65224,          NaN,         NaN, 6.921997E-12,    48.12425,          NaN,         NaN
   216.0,  1.411119E-1,    14.71107,          NaN,         NaN, 6.805996E-12,    48.29341,          NaN,         NaN
   217.0,  1.389699E-1,    14.77062,          NaN,         NaN, 6.615590E-12,    48.46473,          NaN,         NaN
   218.0,  1.370063E-1,    14.83110,          NaN,         NaN, 6.357235E-12,    48.63923,          NaN,         NaN
   219.0,  1.351319E-1,    14.89250,          NaN,         NaN, 6.038387E-12,    48.81813,          NaN,         NaN
   220.0,  1.332657E-1,    14.95465,          NaN,         NaN, 5.667537E-12,    49.00292,          NaN,         NaN
   221.0,  1.313410E-1,    15.01719,          NaN,         NaN, 5.254327E-12,    49.19557,          NaN,         NaN
   222.0,  1.293087E-1,    15.07965,          NaN,         NaN, 4.809784E-12,    49.39871,          NaN,         NaN
   223.0,  1.271411E-1,    15.14139,          NaN,         NaN, 4.346765E-12,    49.61594,          NaN,         NaN
   224.0,  1.248342E-1,    15.20171,          NaN,         NaN, 3.880708E-12,    49.85218,          NaN,         NaN
   225.0,  1.224091E-1,    15.25983,          NaN,         NaN, 3.430834E-12,    50.11402,          NaN,         NaN
   226.0,  1.199136E-1,    15.31497,          NaN,         NaN, 3.021738E-12,    50.40949,          NaN,         NaN
   227.0,  1.174216E-1,    15.36635,          NaN,         NaN, 2.684538E-12,    50.74596,          NaN,         NaN
   228.0,  1.150325E-1,    15.41332,          NaN,         NaN, 2.454640E-12,    51.12414,          NaN,         NaN
   229.0,  1.128679E-1,    15.45545,          NaN,         NaN, 2.361355E-12,    51.52980,          NaN,         NaN
   230.0,  1.110661E-1,    15.49258,          NaN,         NaN, 2.411268E-12,    51.93416,          NaN,         NaN
   231.0,  1.097731E-1,    15.52502,          NaN,         NaN, 2.581795E-12,    52.31026,          NaN,         NaN
   232.0,  1.091307E-1,    15.55357,          NaN,         NaN, 2.834199E-12,    52.64706,          NaN,         NaN
   233.0,  1.092613E-1,    15.57955,          NaN,         NaN, 3.130691E-12,    52.94720,          NaN,         NaN
   234.0,  1.102534E-1,    15.60473,          NaN,         NaN, 3.442149E-12,    53.21861,          NaN,         NaN
   235.0,  1.121496E-1,    15.63107,          NaN,         NaN, 3.748343E-12,    53.46927,          NaN,         NaN
   236.0,  1.149404E-1,    15.66052,          NaN,         NaN, 4.035882E-12,    53.70566,          NaN,         NaN
   237.0,  1.185658E-1,    15.69474,          NaN,         NaN, 4.296290E-12,    53.93264,          NaN,         NaN
   238.0,  1.229225E-1,    15.73492,          NaN,         NaN, 4.524681E-12,    54.15387,          NaN,         NaN
   239.0,  1.278756E-1,    15.78175,          NaN,         NaN, 4.718941E-12,    54.37206,          NaN,         NaN
   240.0,  1.332704E-1,    15.83545,          NaN,         NaN, 4.879225E-12,    54.58934,          NaN,         NaN
   241.0,  1.389437E-1,    15.89585,          NaN,         NaN, 5.007636E-12,    54.80736,          NaN,         NaN
   242.0,  1.447322E-1,    15.96252,          NaN,         NaN, 5.107990E-12,    55.02740,          NaN,         NaN
   243.0,  1.504782E-1,    16.03484,          NaN,         NaN, 5.185600E-12,    55.25045,          NaN,         NaN
   244.0,  1.560337E-1,    16.11213,          NaN,         NaN, 5.247018E-12,    55.47715,          NaN,         NaN
   245.0,  1.612630E-1,    16.19367,          NaN,         NaN, 5.299700E-12,    55.70781,          NaN,         NaN
   246.0,  1.660442E-1,    16.27872,          NaN,         NaN, 5.351562E-12,    55.94236,          NaN,         NaN
